  Level    Total number of offspring
-------  ---------------------------
      0                          127
      1                          164
      2                          213
      3                          224
      4                          271
      5                          337
      6                          440
      7                          532
      8                          698
      9                          887
     10                         1165
     11                         1558
     12                         2137
     13                         2699
     14                         3457
     15                         4527
     16                         5993
     17                         7962
     18                        10212
     19                        13236
     20                        17319
